150 20
5 12
4 11 39
2 14 27
3 4 30
3 4 40
3 3 32
2 15 36
4 6 35
3 13 35
3 20 25
2 5 38
4 20 34
4 10 32
4 18 40
4 6 29
4 3 31
3 13 30
4 20 38
3 9 34
4 8 31
2 8 33
4 9 32
4 2 38
3 18 26
3 19 25
2 4 29
3 10 39
2 16 32
2 5 29
4 8 38
3 18 33
3 20 26
2 4 37
4 5 36
4 17 32
2 6 38
3 9 31
4 17 33
2 6 26
2 13 39
2 4 34
4 1 32
2 2 27
4 4 29
4 3 32
2 20 32
2 1 27
4 14 38
3 15 32
4 10 40
2 13 38
3 19 29
4 3 27
3 4 33
2 18 35
3 8 31
3 10 25
2 11 31
2 3 26
3 9 32
2 17 26
2 19 26
3 2 32
4 16 27
3 14 40
3 14 38
2 16 25
4 7 34
4 4 33
3 11 32
3 19 29
4 9 30
2 10 27
3 1 25
4 15 30
3 12 28
4 2 34
3 12 37
3 11 36
2 13 34
2 5 40
4 8 25
3 2 31
4 7 38
3 2 29
2 9 38
2 2 37
2 18 25
4 14 39
3 3 31
4 16 36
3 2 38
2 12 32
2 16 28
2 2 35
3 3 26
4 15 32
3 18 37
4 8 40
4 19 38
4 20 30
2 17 34
3 11 32
2 8 28
2 20 33
2 17 32
4 14 35
2 5 38
2 19 26
4 9 31
4 3 28
2 6 25
3 6 39
3 13 28
4 13 31
3 19 26
4 3 37
3 9 31
4 7 27
4 12 35
4 7 30
4 17 27
4 17 27
2 12 30
2 10 38
4 3 39
3 15 29
3 19 40
4 11 35
4 14 32
4 3 38
4 9 28
3 10 38
3 19 38
3 8 29
4 6 28
2 15 30
2 6 40
2 16 40
2 9 30
4 4 37
4 10 33
4 15 39
2 11 30
4 17 28
4 19 38
4 7 30
3 5 29
4 17 32
4 13 33
2 9 40
40 40 40 40 40 40 30 30 40 40 40 40 40 40 30 40 40 40 30 30 
