200 10
5 12
4 9 40
4 3 32
2 6 31
3 2 32
2 1 32
3 8 29
3 4 32
2 7 37
3 4 25
4 6 31
3 6 26
2 1 36
4 9 28
4 1 35
4 5 34
2 8 34
4 2 35
4 10 27
2 6 28
4 3 40
2 10 35
4 5 30
2 6 25
4 3 31
2 3 28
4 10 27
3 7 36
3 6 25
3 2 39
3 2 28
4 4 29
4 7 40
3 7 30
4 8 31
3 3 29
3 10 33
3 7 30
3 7 34
3 2 36
4 7 39
3 9 37
2 1 37
4 2 25
4 4 28
4 8 26
2 10 33
3 9 39
4 10 38
4 6 27
4 3 26
2 2 39
2 6 31
3 7 26
3 8 30
2 4 39
2 9 33
2 2 34
4 6 25
3 1 40
4 2 37
4 7 38
3 2 27
2 2 35
2 6 39
3 6 30
3 4 29
4 3 35
4 4 34
4 2 37
2 9 34
2 8 27
3 2 34
4 7 27
2 8 29
2 5 38
2 6 38
3 9 29
2 10 27
2 5 33
2 3 36
2 1 40
4 7 29
3 4 29
4 5 30
2 3 31
3 3 32
4 2 35
2 3 25
3 9 34
2 2 33
4 1 33
4 2 37
3 6 32
2 4 27
4 4 26
2 6 40
2 1 32
4 2 28
4 8 38
4 5 40
3 10 33
2 1 28
2 3 27
4 6 27
4 4 27
2 10 38
4 7 39
2 1 32
4 10 35
4 1 25
3 2 28
3 7 38
2 4 33
4 6 38
4 7 26
4 1 39
4 10 29
3 9 26
3 4 28
4 10 40
3 5 38
2 1 25
2 8 33
3 1 32
4 4 34
4 6 27
4 8 40
2 8 25
4 4 37
2 4 38
2 8 39
4 8 25
3 3 33
3 4 37
4 2 37
4 6 39
2 1 34
2 2 28
3 4 38
3 3 25
4 5 34
2 3 26
3 1 39
2 2 39
4 1 29
4 5 27
2 5 31
4 1 38
3 7 37
2 5 27
2 9 33
2 5 35
2 5 30
2 3 25
4 2 29
3 2 31
4 2 36
4 1 27
2 3 40
2 9 33
4 8 39
3 10 39
3 1 32
3 2 36
4 9 36
3 6 38
2 6 39
3 8 31
4 7 31
2 4 36
4 7 34
2 7 35
3 6 28
3 9 40
2 2 36
2 6 37
2 10 40
4 2 32
4 7 34
3 6 38
3 8 30
2 9 26
2 6 26
2 10 33
3 3 32
2 2 40
4 3 35
4 8 28
2 1 25
4 8 35
4 7 30
2 3 34
4 2 28
4 5 25
3 4 40
4 2 40
4 7 34
3 6 39
4 2 35
2 1 35
40 40 30 40 40 40 30 30 40 30 
